t,a_thrust,a_roll,a_pitch,a_yaw,seg
0.00000,-1.000000,0.000000,0.000000,0.000000,ff
0.02500,-1.000000,0.000000,0.000000,0.000000,ff
0.05000,-1.000000,0.000000,0.000000,0.000000,ff
0.07500,-1.000000,0.000000,0.000000,0.000000,ff
0.10000,-1.000000,0.000000,0.000000,0.000000,ff
0.12500,-1.000000,0.000000,0.000000,0.000000,ff
0.15000,-1.000000,0.000000,0.000000,0.000000,ff
0.17500,-1.000000,0.000000,0.000000,0.000000,ff
0.20000,-1.000000,0.000000,0.000000,0.000000,ff
0.22500,-1.000000,0.000000,0.000000,0.000000,ff
0.25000,-1.000000,0.000000,0.000000,0.000000,ff
0.27500,-1.000000,0.000000,0.000000,0.000000,ff
0.30000,-1.000000,0.000000,0.000000,0.000000,ff
0.32500,-1.000000,0.000000,0.000000,0.000000,ff
0.35000,-1.000000,0.000000,0.000000,0.000000,ff
0.37500,-1.000000,0.000000,0.000000,0.000000,ff
0.40000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.42500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.45000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.47500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.50000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.52500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.55000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.57500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.60000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.62500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.65000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.67500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.70000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.72500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.75000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.77500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.80000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.82500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.85000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.87500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.90000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.92500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.95000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
0.97500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
1.00000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
1.02500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
1.05000,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
1.07500,-0.400000,0.000000,0.000000,0.000000,hold_1.5g
1.10000,-1.000000,0.000000,0.000000,0.000000,ff
1.12500,-1.000000,0.000000,0.000000,0.000000,ff
1.15000,-1.000000,0.000000,0.000000,0.000000,ff
1.17500,-1.000000,0.000000,0.000000,0.000000,ff
1.20000,-1.000000,0.000000,0.000000,0.000000,ff
1.22500,-1.000000,0.000000,0.000000,0.000000,ff
1.25000,-1.000000,0.000000,0.000000,0.000000,ff
1.27500,-1.000000,0.000000,0.000000,0.000000,ff
1.30000,-1.000000,0.000000,0.000000,0.000000,ff
1.32500,-1.000000,0.000000,0.000000,0.000000,ff
1.35000,-1.000000,0.000000,0.000000,0.000000,ff
1.37500,-1.000000,0.000000,0.000000,0.000000,ff
1.40000,-1.000000,0.000000,0.000000,0.000000,ff
1.42500,-1.000000,0.000000,0.000000,0.000000,ff
1.45000,-1.000000,0.000000,0.000000,0.000000,ff
1.47500,-1.000000,0.000000,0.000000,0.000000,ff
1.50000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.52500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.55000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.57500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.60000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.62500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.65000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.67500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.70000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.72500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.75000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.77500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.80000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.82500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.85000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.87500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.90000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.92500,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.95000,-0.200000,0.000000,0.000000,0.000000,hold_2g
1.97500,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.00000,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.02500,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.05000,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.07500,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.10000,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.12500,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.15000,-0.200000,0.000000,0.000000,0.000000,hold_2g
2.17500,-0.200000,0.000000,0.000000,0.000000,hold_2g
